iter	Passed	Remaining
0	0	88
1	1	83
2	1	81
3	2	79
4	3	78
5	3	76
6	4	73
7	4	72
8	5	72
9	6	73
10	6	72
11	7	71
12	7	69
13	8	68
14	8	66
15	9	65
16	9	64
17	10	63
18	10	62
19	11	62
20	12	61
21	12	61
22	13	62
23	14	62
24	14	61
25	15	60
26	16	60
27	16	59
28	17	59
29	18	59
30	18	59
31	19	59
32	20	58
33	21	58
34	21	58
35	22	57
36	22	56
37	23	55
38	23	54
39	24	53
40	24	52
41	25	52
42	26	51
43	26	50
44	27	50
45	27	49
46	28	49
47	30	50
48	30	49
49	31	49
50	32	48
51	32	47
52	33	46
53	33	46
54	34	45
55	35	45
56	35	44
57	36	44
58	37	43
59	37	42
60	38	42
61	39	41
62	39	40
63	40	40
64	40	39
65	41	38
66	41	38
67	42	37
68	42	36
69	43	36
70	44	35
71	45	35
72	45	34
73	46	33
74	46	33
75	47	32
76	48	31
77	48	31
78	49	30
79	49	29
80	50	29
81	51	28
82	51	27
83	52	27
84	52	26
85	53	25
86	53	25
87	54	24
88	54	23
89	55	23
90	55	22
91	56	22
92	56	21
93	57	20
94	57	20
95	58	19
96	59	19
97	60	18
98	60	17
99	61	17
100	61	16
101	62	15
102	63	15
103	63	14
104	64	14
105	64	13
106	65	12
107	66	12
108	67	11
109	67	11
110	68	10
111	68	9
112	69	9
113	69	8
114	69	7
115	70	7
116	70	6
117	71	6
118	72	5
119	72	4
120	73	4
121	74	3
122	74	3
123	75	2
124	75	1
125	76	1
126	77	0
127	77	0
